drug,date,forecast,ci_lower,ci_upper
Dabigatran etexilate,2024-12-01,2.8272784551693566,2.5603041968116997,3.0942527135270135
Dabigatran etexilate,2025-01-01,2.812114111144496,2.5333719091000004,3.0908563131889917
Dabigatran etexilate,2025-02-01,2.8247358594159606,2.5441667838732536,3.1053049349586677
Dabigatran etexilate,2025-03-01,2.8288424457681467,2.545039166910575,3.112645724625718
Dabigatran etexilate,2025-04-01,2.823887850701892,2.5354415022691197,3.1123341991346645
Dabigatran etexilate,2025-05-01,2.827903130664115,2.5360621664932337,3.1197440948349966
Dabigatran etexilate,2025-06-01,2.831494453341296,2.536178664371842,3.1268102423107496
Dabigatran etexilate,2025-07-01,2.815055804167465,2.516045705040517,3.114065903294413
Dabigatran etexilate,2025-08-01,2.8150759284174365,2.512570752830775,3.117581104004098
Dabigatran etexilate,2025-09-01,2.827547785325837,2.5215901729339527,3.133505397717721
Dabigatran etexilate,2025-10-01,2.8097749505281384,2.500359343462859,3.119190557593418
Dabigatran etexilate,2025-11-01,2.828647921631961,2.515831981421507,3.141463861842415
Dabigatran etexilate,2025-12-01,2.8223435739694023,2.506167342754361,3.1385198051844436
Dabigatran etexilate,2026-01-01,2.815194195356013,2.492417028735613,3.137971361976413
Dabigatran etexilate,2026-02-01,2.821144842276587,2.4956164970430805,3.1466731875100935
Dabigatran etexilate,2026-03-01,2.8230809326583124,2.49413346157032,3.152028403746305
Dabigatran etexilate,2026-04-01,2.820745040257253,2.487796092020483,3.153693988494023
Dabigatran etexilate,2026-05-01,2.8226380833458045,2.486234497007678,3.1590416696839307
Dabigatran etexilate,2026-06-01,2.824331247617342,2.484455485862261,3.164207009372423
Dabigatran etexilate,2026-07-01,2.8165810853648034,2.473155018771262,3.160007151958345
Dabigatran etexilate,2026-08-01,2.816590573139714,2.4697175582817197,3.1634635879977084
Dabigatran etexilate,2026-09-01,2.822470552303809,2.4721856972447718,3.172755407362846
Dabigatran etexilate,2026-10-01,2.814091375164085,2.4604082809897623,3.167774469338408
Dabigatran etexilate,2026-11-01,2.8229892223466595,2.465948751595479,3.18002969309784
Dabigatran etexilate,2026-12-01,2.8200169758583633,2.459651933372489,3.1803820183442375
Dabigatran etexilate,2027-01-01,2.816646331246953,2.451678428615286,3.1816142338786197
Dabigatran etexilate,2027-02-01,2.819451822054173,2.451460694680577,3.187442949427769
Dabigatran etexilate,2027-03-01,2.8203646108383826,2.4490639053448575,3.1916653163319078
Dabigatran etexilate,2027-04-01,2.819263331474088,2.4444182876788125,3.1941083752693635
Dabigatran etexilate,2027-05-01,2.8201558251900636,2.4420127576739965,3.1982988927061307
Dabigatran etexilate,2027-06-01,2.82095408407894,2.4395186350518654,3.202389533106015
Dabigatran etexilate,2027-07-01,2.817300194133161,2.432551581653479,3.202048806612843
